date,trip
8/18/2016,114
8/19/2016,128
8/20/2016,130
8/21/2016,145
8/22/2016,115
8/23/2016,128
8/24/2016,134
8/25/2016,116
8/26/2016,116
8/27/2016,124
8/28/2016,115
8/29/2016,151
8/30/2016,184
8/31/2016,149
9/1/2016,137
9/2/2016,168
9/3/2016,172
9/4/2016,182
9/5/2016,129
9/6/2016,130
9/7/2016,139
9/8/2016,140
9/9/2016,146
9/10/2016,189
9/11/2016,159
9/12/2016,163
9/13/2016,161
9/14/2016,184
9/15/2016,166
9/16/2016,168
9/17/2016,186
9/18/2016,164
9/19/2016,84
9/20/2016,160
9/21/2016,171
9/22/2016,176
9/23/2016,158
9/24/2016,198
9/25/2016,162
9/26/2016,157
9/27/2016,164
9/28/2016,175
9/29/2016,164
9/30/2016,142
10/1/2016,57
10/2/2016,121
10/3/2016,194
10/4/2016,175
10/5/2016,152
10/6/2016,194
10/7/2016,188
10/8/2016,161
10/9/2016,27
10/10/2016,116
10/11/2016,163
10/12/2016,144
10/13/2016,169
10/14/2016,167
10/15/2016,196
10/16/2016,201
10/17/2016,192
10/18/2016,157
10/19/2016,149
10/20/2016,144
10/21/2016,138
10/22/2016,99
10/23/2016,144
10/24/2016,146
10/25/2016,129
10/26/2016,111
10/27/2016,109
10/28/2016,116
10/29/2016,124
10/30/2016,112
10/31/2016,140
11/1/2016,159
11/2/2016,147
11/3/2016,122
11/4/2016,115
11/5/2016,148
11/6/2016,114
11/7/2016,110
11/8/2016,114
11/9/2016,108
11/10/2016,106
11/11/2016,131
11/12/2016,110
11/13/2016,136
11/14/2016,136
11/15/2016,61
11/16/2016,116
11/17/2016,149
11/18/2016,153
11/19/2016,117
11/20/2016,93
11/21/2016,98
11/22/2016,95
11/23/2016,87
11/24/2016,42
11/25/2016,50
11/26/2016,60
11/27/2016,75
11/28/2016,107
11/29/2016,54
11/30/2016,65
12/1/2016,101
12/2/2016,102
12/3/2016,85
12/4/2016,73
12/5/2016,67
12/6/2016,83
12/7/2016,63
12/8/2016,84
12/9/2016,69
12/10/2016,48
12/11/2016,45
12/12/2016,60
12/13/2016,71
12/14/2016,69
12/15/2016,46
12/16/2016,34
12/17/2016,8
12/18/2016,35
12/19/2016,39
12/20/2016,48
12/21/2016,53
12/22/2016,33
12/23/2016,22
12/24/2016,10
12/25/2016,24
12/26/2016,26
12/27/2016,48
12/28/2016,40
12/29/2016,26
12/30/2016,21
12/31/2016,15
1/1/2017,19
1/2/2017,19
1/3/2017,25
1/4/2017,38
1/5/2017,28
1/6/2017,42
1/7/2017,3
1/8/2017,9
1/9/2017,30
1/10/2017,36
1/11/2017,54
1/12/2017,64
1/13/2017,58
1/14/2017,23
1/15/2017,34
1/16/2017,41
1/17/2017,45
1/18/2017,26
1/19/2017,70
1/20/2017,49
1/21/2017,66
1/22/2017,29
1/23/2017,36
1/24/2017,28
1/25/2017,69
1/26/2017,46
1/27/2017,67
1/28/2017,32
1/29/2017,43
1/30/2017,63
1/31/2017,40
2/1/2017,53
2/2/2017,59
2/3/2017,52
2/4/2017,31
2/5/2017,39
2/6/2017,62
2/7/2017,37
2/8/2017,75
2/9/2017,2
2/10/2017,11
2/11/2017,18
2/12/2017,3
2/13/2017,6
2/14/2017,38
2/15/2017,41
2/16/2017,54
2/17/2017,55
2/18/2017,42
2/19/2017,54
2/20/2017,55
2/21/2017,64
2/22/2017,82
2/23/2017,93
2/24/2017,105
2/25/2017,105
2/26/2017,56
2/27/2017,80
2/28/2017,84
3/1/2017,98
3/2/2017,62
3/3/2017,71
3/4/2017,20
3/5/2017,25
3/6/2017,83
3/7/2017,57
3/8/2017,91
3/9/2017,84
3/10/2017,37
3/11/2017,20
3/12/2017,32
3/13/2017,62
3/14/2017,3
3/15/2017,8
3/16/2017,46
3/17/2017,68
3/18/2017,31
3/19/2017,31
3/20/2017,85
3/21/2017,90
3/22/2017,61
3/23/2017,54
3/24/2017,79
3/25/2017,28
3/26/2017,34
3/27/2017,39
3/28/2017,43
3/29/2017,50
3/30/2017,73
3/31/2017,20
4/1/2017,10
4/2/2017,71
4/3/2017,98
4/4/2017,29
4/5/2017,90
4/6/2017,41
4/7/2017,91
4/8/2017,73
4/9/2017,174
4/10/2017,120
4/11/2017,147
4/12/2017,130
4/13/2017,144
4/14/2017,150
